Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
[GFB]Lone Bay Plunderers, LPoW06, Necromantic, 1125, 3, 1, 0, 7, 1, 13, 6, 11, 2, 3, 1, 0, 3, 0, 5, 2, 0, 4, 1, 51, 32
Les Poignards Volants, Rookiz, DarkElf, 1190, 2, 3, 1, 5, 5, 10, 14, 10, 7, 2, 1, 3, 2, 5, 4, 5, 0, 4, 3, 57, 51
[GFB]La caida de Tonatiuh, Akol, Amazon, 910, 3, 0, 3, 5, 4, 16, 15, 7, 12, 0, 2, 1, 6, 0, 9, 7, 2, 1, 1, 55, 64
GFB 44 - Nurgle, Thulsa Doom, Nurgle, 1225, 2, 3, 1, 7, 7, 19, 13, 12, 1, 1, 0, 1, 2, 6, 6, 7, 1, 4, 1, 68, 55
Souffleurs de Cristal, Cahinn, Elf, 1010, 3, 0, 3, 6, 6, 9, 24, 7, 19, 1, 2, 2, 1, 2, 0, 4, 2, 2, 2, 55, 68
[GFB] Sylvania's Pride, Nîme l'Ancien, Vampire, 1200, 2, 3, 1, 12, 7, 15, 23, 5, 12, 0, 2, 11, 2, 26, 5, 0, 2, 1, 3, 81, 70
rageux et méchants, Captain Blind, Khorne, 1260, 2, 3, 1, 8, 6, 17, 12, 22, 9, 2, 0, 1, 2, 0, 6, 9, 0, 2, 0, 98, 64
La Tribu des Valseuses, Momolskyy, Amazon, 1160, 2, 2, 2, 9, 8, 15, 9, 9, 4, 1, 2, 0, 4, 0, 7, 1, 5, 1, 1, 65, 61
NANCY BATS [GFB], Otopous, Vampire, 1060, 2, 2, 0, 5, 3, 7, 14, 6, 6, 2, 3, 3, 0, 9, 0, 2, 3, 1, 1, 48, 43
[GFB] Carpates Dreamers, Silsei, Vampire, 1180, 2, 2, 1, 10, 4, 13, 8, 15, 11, 1, 1, 4, 4, 9, 23, 2, 1, 1, 2, 81, 56
[GFB] Paint it green, Prysm, Orc, 1040, 2, 2, 2, 5, 5, 9, 10, 14, 7, 3, 1, 0, 1, 0, 0, 1, 1, 4, 0, 65, 53
forrest gump runners, FRD, WoodElf, 1175, 2, 2, 2, 9, 7, 9, 20, 4, 8, 1, 1, 1, 3, 6, 6, 0, 3, 2, 1, 60, 57
[GFB] MiDraculous, Jojolafrite, Vampire, 1200, 2, 2, 2, 6, 6, 16, 22, 8, 16, 2, 0, 2, 4, 4, 13, 3, 7, 0, 1, 58, 76
Rats but not least, Rascal, Skaven, 1130, 2, 1, 3, 8, 9, 13, 18, 12, 5, 1, 0, 1, 2, 3, 8, 1, 3, 0, 0, 79, 65
Les malhabiles2, Dzerko12, DarkElf, 855, 2, 1, 1, 4, 3, 10, 13, 6, 6, 2, 4, 0, 1, 0, 3, 3, 1, 0, 3, 40, 36
Elvish Rebloch' Club, Jibz74, Elf, 1010, 2, 1, 2, 6, 8, 10, 12, 6, 9, 2, 0, 6, 2, 15, 8, 2, 6, 1, 0, 55, 62
Odeurs des sens, LUKE_CAGE, Nurgle, 955, 2, 1, 0, 3, 0, 6, 7, 7, 3, 1, 1, 0, 0, 0, 0, 2, 4, 0, 0, 33, 14
FB - For All Mankind, Démosthène, Human, 1075, 2, 1, 1, 3, 1, 9, 10, 3, 7, 0, 0, 2, 1, 1, 3, 2, 1, 0, 0, 35, 34
Barronies des griffoniers, Rob-inet, Bretonnia, 1035, 1, 3, 2, 5, 7, 10, 10, 6, 11, 1, 3, 0, 2, 0, 2, 5, 0, 1, 2, 49, 57
[FB] Souvenir, Souvenir, Pinguins, Vampire, 1120, 2, 0, 2, 4, 5, 5, 10, 1, 9, 0, 1, 5, 2, 17, 1, 2, 4, 1, 1, 34, 45
La MORT, C'EST LA VIE!, Mifune38, Undead, 1125, 1, 3, 2, 4, 7, 15, 8, 12, 6, 1, 0, 2, 3, 5, 7, 0, 2, 1, 2, 62, 72
Emperor's Children, Castor, Human, 1115, 2, 0, 3, 4, 7, 12, 9, 9, 6, 2, 2, 4, 0, 17, 0, 1, 4, 0, 0, 55, 51
[GFB] Lé TotOrk Flingueur, Kanwulf, Orc, 1005, 1, 2, 3, 3, 8, 12, 11, 10, 6, 1, 0, 1, 2, 2, 4, 0, 2, 0, 0, 54, 62
Les Bestioles, Pifou, Chaos, 1040, 1, 2, 3, 4, 7, 16, 7, 10, 7, 2, 3, 1, 4, 0, 17, 3, 0, 0, 0, 62, 67
GFB-Loups Noirs, Shkeil, BlackOrc, 1110, 1, 2, 3, 4, 10, 14, 7, 8, 11, 0, 0, 0, 3, 0, 6, 1, 1, 0, 3, 50, 72
[GFB] Apprenti vampire, Lemarseillais, Vampire, 1120, 1, 2, 2, 6, 6, 11, 10, 6, 8, 1, 0, 4, 1, 5, 3, 6, 1, 0, 0, 52, 53
(GFB) BOYS IN THE WOOD, Boyfutur, WoodElf, 715, 1, 2, 3, 5, 10, 5, 23, 8, 13, 2, 2, 5, 3, 7, 9, 2, 6, 0, 2, 58, 79
[GFB] Breizh Bones, Lao Jia, Undead, 1180, 1, 2, 3, 5, 6, 16, 13, 8, 4, 0, 0, 2, 3, 7, 5, 1, 2, 0, 0, 65, 58
GFB Vellavi Mazons, Blackweasel, Amazon, 1110, 1, 2, 2, 3, 4, 4, 10, 5, 12, 1, 0, 1, 1, 2, 0, 0, 2, 1, 1, 40, 59
laspatatasfritas, bartabaf, Amazon, 910, 1, 1, 2, 2, 3, 7, 13, 6, 6, 3, 2, 0, 1, 0, 1, 1, 7, 1, 2, 32, 37
GFB Varag Fight Klub, -YO-, BlackOrc, 1005, 1, 1, 0, 2, 1, 4, 5, 5, 4, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 18, 17
Les Dés Goûtés, Paladin, Vampire, 1120, 0, 3, 1, 4, 6, 5, 16, 9, 7, 1, 2, 7, 1, 22, 4, 5, 0, 1, 1, 48, 53
Les Pépettes, Ogres, Amazon, 970, 1, 0, 0, 2, 1, 2, 1, 4, 3, 0, 0, 0, 2, 0, 6, 1, 0, 0, 0, 18, 13
[GFB] 2 Blitz Start, Grumly, Vampire, 1180, 0, 3, 3, 4, 8, 12, 18, 8, 8, 3, 1, 7, 2, 27, 4, 1, 2, 2, 0, 59, 70
Eco Terreau [FB], Otopous, WoodElf, 875, 1, 0, 1, 1, 2, 8, 5, 1, 3, 1, 1, 0, 2, 0, 10, 0, 0, 0, 1, 13, 22
[GFB] The Human Chiwawa, Tinuks, Human, 995, 1, 0, 0, 1, 0, 3, 3, 1, 3, 0, 1, 1, 0, 4, 0, 0, 1, 1, 0, 10, 10
gfb_Lé Broyeurz, Grimgor, BlackOrc, 1210, 0, 3, 3, 5, 9, 14, 5, 9, 9, 1, 2, 0, 3, 0, 6, 1, 2, 4, 1, 55, 73
KhimKhamKhoum, Papatte, Khorne, 980, 1, 0, 1, 3, 2, 11, 1, 4, 1, 0, 0, 0, 5, 0, 17, 1, 0, 0, 0, 27, 19
[GFB] Jupettes en folie, Merlin, Amazon, 990, 1, 0, 0, 3, 0, 2, 3, 0, 2, 0, 0, 1, 1, 3, 0, 1, 1, 0, 0, 14, 8
CPALEDELEPROBLEM GFB, yaouch, Khorne, 1110, 1, 0, 2, 2, 2, 8, 5, 7, 0, 1, 0, 0, 0, 0, 0, 7, 1, 0, 1, 29, 18
Les Brutalites , Seb27, Orc, 955, 0, 2, 1, 2, 4, 3, 6, 4, 7, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 24, 34
les malhabiles , Dzerko12, DarkElf, 950, 0, 1, 1, 2, 3, 5, 3, 3, 2, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 22, 22
Huissiers des Rancunes, Motivated Vergil, Dwarf, 1000, 0, 1, 0, 1, 1, 6, 0, 1, 1, 0, 0, 0, 2, 0, 3, 1, 0, 1, 0, 8, 10
CPALESDESLEPROBLEM, yaouch, Chaos, 920, 0, 1, 2, 1, 4, 6, 4, 3, 7, 1, 1, 2, 0, 2, 0, 2, 2, 2, 1, 23, 38
[GFB]KAOSOTOUNO, Sebotouno, Chaos, 990, 0, 1, 1, 1, 2, 1, 4, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 11, 22
OldenArdstuck, KoS, Dwarf, 980, 0, 1, 0, 1, 1, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 9, 9
Bright Crusaders, Ysielle, Human, 735, 0, 1, 5, 2, 12, 5, 19, 9, 21, 1, 1, 4, 1, 21, 3, 0, 11, 1, 0, 48, 101
[GFB] Armada, KoS, Human, 1090, 0, 1, 4, 2, 10, 13, 8, 3, 9, 0, 0, 3, 0, 9, 0, 1, 2, 2, 2, 36, 66
Nostalgie, Lemarseillais, Skaven, 985, 0, 0, 1, 1, 2, 1, 2, 0, 2, 0, 0, 0, 1, 0, 6, 0, 2, 0, 0, 7, 15
Blockrz, Pqck, BlackOrc, 1000, 0, 0, 1, 0, 3, 3, 2, 2, 0, 0, 0, 1, 1, 0, 3, 1, 1, 0, 0, 8, 14
GOAT or not GOAT?, Mellenor, Chaos, 950, 0, 0, 2, 0, 2, 4, 4, 3, 5, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 14, 23
[GFB] Calins à volonté !, Enchantress Fay, Nurgle, 990, 0, 0, 1, 0, 1, 3, 3, 3, 1, 1, 0, 0, 1, 0, 4, 1, 0, 0, 1, 10, 10
[GFB] A boire!, Papatte, Vampire, 990, 0, 0, 1, 1, 2, 0, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 7, 13
[GFB] A Boire v2!, Papatte, Vampire, 1020, 0, 0, 2, 2, 4, 0, 10, 0, 6, 0, 0, 1, 0, 2, 0, 1, 2, 0, 0, 15, 32
CrocoCrush, Seb27, Amazon, 1000, 0, 0, 1, 0, 3, 2, 0, 0, 5, 0, 2, 1, 0, 1, 0, 0, 0, 1, 1, 5, 19
