Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
Bright Crusaders, Ysielle, Human, 870, 0, 1, 1, 1, 2, 0, 8, 2, 3, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 15, 18
[GFB] Apprenti vampire, Lemarseillais, Vampire, 960, 0, 1, 1, 2, 4, 5, 4, 1, 5, 0, 0, 0, 1, 0, 3, 2, 0, 0, 0, 16, 31
[GFB] Armada, KoS, Human, 925, 0, 1, 1, 1, 2, 3, 4, 2, 4, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 17, 24
(GFB) BOYS IN THE WOOD, Boyfutur, WoodElf, 880, 0, 1, 1, 2, 4, 2, 6, 5, 2, 1, 0, 5, 0, 7, 0, 0, 3, 0, 0, 27, 24
[GFB] Breizh Bones, Lao Jia, Undead, 990, 0, 1, 1, 1, 2, 4, 3, 4, 1, 0, 0, 1, 1, 3, 0, 0, 2, 0, 0, 22, 20
GOAT or not GOAT?, Mellenor, Chaos, 950, 0, 0, 2, 0, 2, 4, 4, 3, 5, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 14, 23
[GFB] Carpates Dreamers, Silsei, Vampire, 990, 0, 0, 1, 1, 2, 2, 1, 1, 2, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 10, 14
Emperor's Children, Castor, Human, 990, 0, 0, 2, 1, 4, 6, 2, 5, 2, 1, 1, 2, 0, 7, 0, 1, 2, 0, 0, 23, 22
[GFB] A boire!, Papatte, Vampire, 990, 0, 0, 1, 1, 2, 0, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 7, 13
[GFB] 2 Blitz Start, Grumly, Vampire, 1060, 0, 0, 2, 1, 3, 5, 8, 3, 2, 1, 0, 3, 0, 12, 0, 0, 1, 1, 0, 18, 21
