Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
Les Bestioles, Pifou, Chaos, 990, 1, 0, 0, 1, 0, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 15, 4
Eco Terreau [FB], Otopous, WoodElf, 1000, 1, 0, 0, 1, 0, 3, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 7, 6
Souffleurs de Cristal, Cahinn, Elf, 1000, 1, 0, 0, 1, 0, 2, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11, 6
La MORT C'EST LA VIE!, Mifune38, Undead, 990, 0, 1, 0, 1, 1, 3, 1, 3, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 13, 13
La Tribu des Valseuses, Momolskyy, Amazon, 980, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9
[GFB] Sylvania's Pride, Nîme l'Ancien, Vampire, 920, 0, 1, 0, 1, 1, 4, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 7, 13
Barronies des griffoniers, Rob-inet, Bretonnia, 970, 0, 1, 0, 1, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 7, 11
CPALESDESLEPROBLEM, yaouch, Chaos, 1000, 0, 1, 0, 1, 1, 5, 2, 1, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 12, 11
Les Poignards Volants, Rookiz, DarkElf, 1000, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9
les malhabiles , Dzerko12, DarkElf, 1000, 0, 1, 0, 1, 1, 4, 1, 2, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 13, 10
[GFB] Les Elfes Maudits, M0by, DarkElf, 990, 0, 1, 0, 1, 1, 3, 3, 1, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 10, 9
forrest gump runners, FRD, WoodElf, 1000, 0, 1, 0, 1, 1, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 11, 7
rageux et méchants, Captain Blind, Khorne, 990, 0, 1, 0, 1, 1, 3, 2, 0, 3, 0, 0, 1, 1, 0, 3, 2, 0, 0, 0, 11, 14
Ska va au GFB, Ouarzy, Skaven, 980, 0, 1, 0, 1, 1, 1, 3, 0, 3, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 13, 13
Les Gateux , sethi, ChaosRenegade, 975, 0, 1, 0, 1, 1, 3, 3, 1, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 9, 10
[GFB] MiDraculous, Jojolafrite, Vampire, 990, 0, 1, 0, 1, 1, 2, 5, 2, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 11, 12
[GFB] Breizh Bones, Lao Jia, Undead, 990, 0, 1, 0, 1, 1, 2, 3, 3, 0, 0, 0, 1, 1, 3, 0, 0, 2, 0, 0, 14, 11
GFB 44 - Nurgle, Thulsa Doom, Nurgle, 990, 0, 1, 0, 1, 1, 5, 4, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 13, 7
GFB Vellavi Mazons, Blackweasel, Amazon, 1000, 0, 1, 0, 1, 1, 1, 4, 1, 2, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 10, 13
Rats but not least, Rascal, Skaven, 985, 0, 0, 1, 1, 2, 1, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 12
[GFB] Paint it green, Prysm, Orc, 1000, 0, 0, 1, 0, 1, 2, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 7
GOAT or not GOAT?, Mellenor, Chaos, 1000, 0, 0, 1, 0, 1, 4, 2, 2, 2, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 8, 10
GFB-Loups Noirs, Shkeil, BlackOrc, 1000, 0, 0, 1, 0, 1, 0, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 11
[GFB] Carpates Dreamers, Silsei, Vampire, 990, 0, 0, 1, 1, 2, 2, 1, 1, 2, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 10, 14
gfb_Lé Broyeurz, Grimgor, BlackOrc, 990, 0, 0, 1, 1, 3, 1, 0, 2, 3, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 11, 20
Emperor's Children, Castor, Human, 990, 0, 0, 1, 0, 2, 1, 1, 1, 2, 0, 0, 1, 0, 5, 0, 0, 2, 0, 0, 7, 12
Bright Crusaders, Ysielle, Human, 1000, 0, 0, 1, 0, 1, 0, 4, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 6, 9
[GFB] Apprenti vampire, Lemarseillais, Vampire, 1000, 0, 0, 1, 0, 2, 0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
[GFB] A boire!, Papatte, Vampire, 990, 0, 0, 1, 1, 2, 0, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 7, 13
[GFB] Armada, KoS, Human, 990, 0, 0, 1, 0, 1, 2, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 15
(GFB) BOYS IN THE WOOD, Boyfutur, WoodElf, 1000, 0, 0, 1, 0, 2, 1, 1, 3, 2, 1, 0, 4, 0, 4, 0, 0, 1, 0, 0, 12, 14
[GFB] 2 Blitz Start, Grumly, Vampire, 1000, 0, 0, 1, 1, 2, 2, 6, 1, 2, 1, 0, 2, 0, 7, 0, 0, 0, 1, 0, 11, 14
Crash Test, Ours, WoodElf, 1000, 0, 0, 2, 0, 3, 0, 4, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
