Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
GFB 44 - Nurgle, Thulsa Doom, Nurgle, 1205, 1, 3, 1, 5, 6, 17, 12, 10, 1, 1, 0, 0, 2, 0, 6, 5, 1, 4, 1, 53, 48
La MORT, C'EST LA VIE!, Mifune38, Undead, 1045, 1, 3, 1, 4, 5, 12, 8, 11, 5, 1, 0, 2, 3, 5, 7, 0, 2, 0, 2, 56, 58
La Tribu des Valseuses, Momolskyy, Amazon, 940, 1, 2, 2, 8, 8, 11, 7, 8, 4, 1, 2, 0, 4, 0, 7, 1, 4, 1, 1, 58, 55
Barronies des griffoniers, Rob-inet, Bretonnia, 1015, 1, 2, 2, 4, 6, 9, 7, 5, 9, 1, 2, 0, 2, 0, 2, 5, 0, 1, 2, 40, 46
GFB-Loups Noirs, Shkeil, BlackOrc, 1070, 1, 2, 2, 4, 6, 12, 6, 8, 11, 0, 0, 0, 3, 0, 6, 1, 1, 0, 3, 46, 56
forrest gump runners, FRD, WoodElf, 1215, 1, 2, 2, 5, 7, 8, 18, 4, 8, 1, 1, 1, 3, 6, 6, 0, 3, 2, 1, 44, 53
[GFB] Apprenti vampire, Lemarseillais, Vampire, 1120, 1, 2, 2, 6, 6, 11, 10, 6, 8, 1, 0, 4, 1, 5, 3, 6, 1, 0, 0, 52, 53
(GFB) BOYS IN THE WOOD, Boyfutur, WoodElf, 970, 1, 2, 2, 5, 9, 4, 17, 8, 13, 2, 2, 5, 2, 7, 9, 0, 4, 0, 2, 54, 72
[GFB] Breizh Bones, Lao Jia, Undead, 1085, 1, 2, 2, 5, 5, 14, 9, 8, 3, 0, 0, 2, 3, 7, 5, 0, 2, 0, 0, 59, 51
GFB Vellavi Mazons, Blackweasel, Amazon, 950, 1, 2, 1, 3, 3, 3, 8, 4, 9, 0, 0, 1, 1, 2, 0, 0, 2, 1, 1, 34, 45
Elvish Rebloch' Club, Jibz74, Elf, 1025, 1, 1, 2, 5, 8, 4, 11, 6, 9, 2, 0, 5, 2, 15, 8, 0, 4, 1, 0, 48, 58
[GFB] Lé TotOrk Flingueur, Kanwulf, Orc, 1150, 1, 1, 3, 3, 8, 10, 9, 10, 6, 1, 0, 1, 2, 2, 4, 0, 1, 0, 0, 48, 58
laspatatasfritas, bartabaf, Amazon, 950, 1, 1, 1, 2, 2, 4, 10, 4, 5, 3, 2, 0, 1, 0, 1, 1, 5, 1, 2, 24, 27
Les Bestioles, Pifou, Chaos, 1040, 1, 1, 3, 4, 7, 14, 5, 10, 7, 2, 3, 1, 4, 0, 17, 2, 0, 0, 0, 58, 61
Odeurs des sens, LUKE_CAGE, Nurgle, 990, 1, 1, 0, 2, 0, 2, 4, 7, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 26, 10
FB - For All Mankind, Démosthène, Human, 1035, 1, 1, 1, 2, 1, 6, 7, 2, 5, 0, 0, 2, 1, 1, 3, 0, 1, 0, 0, 25, 26
Les Dés Goûtés, Paladin, Vampire, 1100, 0, 3, 0, 3, 3, 5, 9, 8, 4, 1, 2, 4, 1, 10, 4, 5, 0, 1, 1, 37, 32
Eco Terreau [FB], Otopous, WoodElf, 875, 1, 0, 1, 1, 2, 8, 5, 1, 3, 1, 1, 0, 2, 0, 10, 0, 0, 0, 1, 13, 22
Emperor's Children, Castor, Human, 1085, 1, 0, 3, 3, 7, 10, 8, 6, 5, 2, 1, 4, 0, 17, 0, 1, 4, 0, 0, 41, 45
CPALEDELEPROBLEM GFB, yaouch, Khorne, 1010, 1, 0, 1, 2, 1, 5, 1, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 25, 11
[GFB] 2 Blitz Start, Grumly, Vampire, 1180, 0, 2, 3, 3, 7, 10, 12, 7, 8, 2, 0, 7, 2, 27, 4, 0, 2, 2, 0, 50, 61
gfb_Lé Broyeurz, Grimgor, BlackOrc, 1210, 0, 2, 3, 4, 8, 8, 3, 9, 8, 0, 1, 0, 3, 0, 6, 1, 1, 4, 1, 46, 64
les malhabiles , Dzerko12, DarkElf, 950, 0, 1, 1, 2, 3, 5, 3, 3, 2, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 22, 22
GFB Varag Fight Klub, -YO-, BlackOrc, 1000, 0, 1, 0, 1, 1, 2, 5, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 7, 13
CPALESDESLEPROBLEM, yaouch, Chaos, 920, 0, 1, 2, 1, 4, 6, 4, 3, 7, 1, 1, 2, 0, 2, 0, 2, 2, 2, 1, 23, 38
[GFB]KAOSOTOUNO, Sebotouno, Chaos, 990, 0, 1, 0, 1, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11
Bright Crusaders, Ysielle, Human, 685, 0, 1, 4, 1, 10, 4, 17, 6, 17, 1, 1, 2, 1, 15, 3, 0, 10, 1, 0, 35, 83
[GFB] Armada, KoS, Human, 1090, 0, 1, 4, 2, 10, 13, 8, 3, 9, 0, 0, 3, 0, 9, 0, 1, 2, 2, 2, 36, 66
Les Brutalites , Seb27, Orc, 765, 0, 1, 1, 1, 3, 3, 2, 2, 5, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 15, 25
GOAT or not GOAT?, Mellenor, Chaos, 950, 0, 0, 2, 0, 2, 4, 4, 3, 5, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 14, 23
[GFB] A boire!, Papatte, Vampire, 990, 0, 0, 1, 1, 2, 0, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 7, 13
[GFB] A Boire v2!, Papatte, Vampire, 1020, 0, 0, 2, 2, 4, 0, 10, 0, 6, 0, 0, 1, 0, 2, 0, 1, 2, 0, 0, 15, 32
KhimKhamKhoum, Papatte, Khorne, 980, 0, 0, 1, 0, 1, 4, 1, 1, 0, 0, 0, 0, 2, 0, 5, 1, 0, 0, 0, 6, 8
CrocoCrush, Seb27, Amazon, 1000, 0, 0, 1, 0, 3, 2, 0, 0, 5, 0, 2, 1, 0, 1, 0, 0, 0, 1, 1, 5, 19
