Team, Coach, Roster, Value, W, D, L, TD+, TD-, KO+, KO-, Cas+, Cas-, Death+, Death-, Pass+, Pass-, Pass meters+, Pass meters-, Surf+, Surf-, Exp+, Exp-, SPP+, SPP-
Discipline Zéro, LePiotr, Khorne, 880, 1, 1, 1, 3, 4, 2, 9, 3, 8, 0, 0, 2, 1, 2, 2, 1, 0, 0, 1, 28, 41
[GFB] Les Elfes Maudits, M0by, DarkElf, 920, 1, 1, 1, 4, 4, 8, 6, 2, 2, 1, 1, 1, 0, 2, 0, 0, 1, 0, 0, 31, 28
(GFB) BOYS IN THE WOOD, Boyfutur, WoodElf, 1040, 1, 1, 1, 4, 5, 4, 12, 6, 3, 1, 0, 5, 2, 7, 9, 0, 4, 0, 0, 39, 35
Crash Test, Ours, WoodElf, 750, 1, 1, 2, 2, 4, 5, 9, 0, 10, 1, 2, 0, 1, 0, 2, 2, 3, 0, 0, 20, 44
GFB Vellavi Mazons, Blackweasel, Amazon, 900, 1, 1, 0, 2, 1, 1, 6, 2, 3, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 19, 21
Les malhabiles2, Dzerko12, DarkElf, 1000, 1, 0, 0, 1, 0, 4, 5, 4, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 13, 6
Elvish Rebloch' Club, Jibz74, Elf, 1030, 1, 0, 1, 4, 3, 2, 4, 3, 4, 0, 0, 3, 0, 10, 0, 0, 1, 1, 0, 29, 25
[GFB]La caida de Tonatiuh, Akol, Amazon, 940, 1, 0, 2, 2, 2, 5, 9, 5, 9, 0, 2, 0, 4, 0, 4, 4, 1, 1, 0, 28, 38
Les Bestioles, Pifou, Chaos, 840, 1, 0, 2, 2, 4, 6, 4, 8, 6, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 38, 38
Eco Terreau [FB], Otopous, WoodElf, 875, 1, 0, 1, 1, 2, 8, 5, 1, 3, 1, 1, 0, 2, 0, 10, 0, 0, 0, 1, 13, 22
[GFB]Lone Bay Plunderers, LPoW06, Necromantic, 1000, 1, 0, 0, 3, 0, 0, 2, 5, 0, 2, 0, 0, 1, 0, 1, 0, 0, 1, 1, 19, 5
FB - For All Mankind, Démosthène, Human, 990, 1, 0, 0, 2, 0, 1, 2, 1, 1, 0, 0, 2, 1, 1, 3, 0, 1, 0, 0, 13, 7
La Tribu des Valseuses, Momolskyy, Amazon, 990, 0, 2, 1, 3, 5, 7, 3, 5, 2, 1, 1, 0, 2, 0, 6, 1, 2, 1, 0, 31, 33
[GFB] Sylvania's Pride, Nîme l'Ancien, Vampire, 1020, 0, 2, 1, 4, 5, 8, 12, 0, 6, 0, 0, 5, 0, 13, 0, 0, 1, 1, 2, 29, 39
GFB-Loups Noirs, Shkeil, BlackOrc, 1020, 0, 2, 1, 2, 3, 7, 3, 5, 7, 0, 0, 0, 1, 0, 4, 1, 0, 0, 1, 26, 32
gfb_Lé Broyeurz, Grimgor, BlackOrc, 1100, 0, 2, 1, 3, 5, 5, 1, 4, 6, 0, 0, 0, 3, 0, 6, 0, 1, 2, 1, 29, 43
forrest gump runners, FRD, WoodElf, 1090, 0, 2, 1, 3, 5, 5, 11, 3, 5, 0, 0, 0, 2, 0, 6, 0, 2, 2, 1, 27, 33
[GFB] Apprenti vampire, Lemarseillais, Vampire, 890, 0, 2, 1, 3, 5, 5, 6, 2, 6, 0, 0, 1, 1, 4, 3, 3, 0, 0, 0, 26, 40
[GFB] MiDraculous, Jojolafrite, Vampire, 840, 0, 2, 1, 2, 3, 9, 12, 4, 10, 1, 0, 0, 0, 0, 0, 0, 5, 0, 1, 26, 40
[GFB] Breizh Bones, Lao Jia, Undead, 1065, 0, 2, 1, 2, 3, 5, 6, 6, 3, 0, 0, 2, 1, 7, 0, 0, 2, 0, 0, 34, 31
NANCY BATS [GFB], Otopous, Vampire, 990, 0, 1, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 8, 6
Les Dés Goûtés, Paladin, Vampire, 990, 0, 1, 0, 1, 1, 5, 2, 4, 1, 1, 0, 1, 0, 1, 0, 4, 0, 1, 1, 14, 9
[GFB] Carpates Dreamers, Silsei, Vampire, 1010, 0, 1, 1, 2, 3, 2, 4, 2, 4, 0, 0, 2, 2, 4, 8, 0, 1, 0, 1, 20, 27
les malhabiles , Dzerko12, DarkElf, 950, 0, 1, 1, 2, 3, 5, 3, 3, 2, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 22, 22
laspatatasfritas, bartabaf, Amazon, 1000, 0, 1, 0, 1, 1, 2, 5, 1, 4, 0, 1, 0, 1, 0, 1, 0, 4, 1, 1, 9, 14
[GFB] 2 Blitz Start, Grumly, Vampire, 1080, 0, 1, 2, 2, 4, 8, 8, 5, 3, 1, 0, 5, 1, 20, 2, 0, 1, 2, 0, 31, 31
CPALESDESLEPROBLEM, yaouch, Chaos, 920, 0, 1, 2, 1, 4, 6, 4, 3, 7, 1, 1, 2, 0, 2, 0, 2, 2, 2, 1, 23, 38
Bright Crusaders, Ysielle, Human, 880, 0, 1, 2, 1, 4, 2, 11, 4, 10, 1, 1, 0, 0, 0, 0, 0, 6, 0, 0, 23, 42
[GFB] Armada, KoS, Human, 1060, 0, 1, 2, 2, 4, 9, 6, 3, 5, 0, 0, 3, 0, 9, 0, 1, 1, 0, 2, 28, 36
[FB] Souvenir: Souvenir, Pinguins, Vampire, 990, 0, 0, 1, 0, 2, 2, 1, 1, 1, 0, 0, 1, 2, 3, 1, 1, 0, 0, 0, 7, 13
GOAT or not GOAT?, Mellenor, Chaos, 950, 0, 0, 2, 0, 2, 4, 4, 3, 5, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 14, 23
Emperor's Children, Castor, Human, 990, 0, 0, 2, 1, 4, 6, 2, 5, 2, 1, 1, 2, 0, 7, 0, 1, 2, 0, 0, 23, 22
[GFB] A boire!, Papatte, Vampire, 990, 0, 0, 1, 1, 2, 0, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 7, 13
[GFB] A Boire v2!, Papatte, Vampire, 1010, 0, 0, 1, 2, 3, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 21
CrocoCrush, Seb27, Amazon, 1000, 0, 0, 1, 0, 3, 2, 0, 0, 5, 0, 2, 1, 0, 1, 0, 0, 0, 1, 1, 5, 19
